Module#name from: XPath::HTML returned name(.). Fix your lib to follow normal ruby semantics!
{Module,Class}#name should return resolvable constant name as String or nil
Module#name from: XPath returned name(.). Fix your lib to follow normal ruby semantics!
{Module,Class}#name should return resolvable constant name as String or nil
#<UnboundMethod: TodoItem#belongs_to_counter_cache_after_update> is dynamically defined in a closure, unable to emit subject
#<UnboundMethod: TodoList#belongs_to_counter_cache_after_update> is dynamically defined in a closure, unable to emit subject
Mutant configuration:
Matcher:         #<Mutant::Matcher::Config match_expressions: [TodoItem,TodoList,User,TodoItemsController,TodoListsController,StaticPagesController,ApplicationController]>
Integration:     Mutant::Integration::Rspec
Expect Coverage: 100.00%
Jobs:            8
Includes:        []
Requires:        ["./config/environment"]
(00/1354) 100% - killtime: 0.00s runtime: 0.00s overhead: 0.00s
(16/1354) 100% - killtime: 5.12s runtime: 1.02s overhead: -4.10s
(32/1354) 100% - killtime: 9.81s runtime: 2.03s overhead: -7.78s
- rspec:69:./spec/models/todo_item_spec.rb:101/TodoItem.due_now? returns true if the item is not not complete and the due_at date is in the past
- rspec:70:./spec/models/todo_item_spec.rb:109/TodoItem.overdue? returns false if complete? and due_at is in the past
- rspec:71:./spec/models/todo_item_spec.rb:115/TodoItem.overdue? returns false if not complete? and due_at? is nil
- rspec:72:./spec/models/todo_item_spec.rb:121/TodoItem.overdue? returns true if not complete? and due_at is in the past
- rspec:73:./spec/models/todo_item_spec.rb:127/TodoItem.overdue? returns false if not complete? and due_at is in the future
- rspec:74:./spec/models/todo_item_spec.rb:135/TodoItem.archived? returns true if completed_at is more than 1 week ago
- rspec:75:./spec/models/todo_item_spec.rb:141/TodoItem.archived? returns false if completed_at is less than 1 week ago
- rspec:76:./spec/models/todo_item_spec.rb:147/TodoItem.archived? returns false if completed_at is nil
- rspec:77:./spec/models/todo_item_spec.rb:157/TodoItem.tag_for_time returns a time.timeago element
- rspec:78:./spec/models/todo_item_spec.rb:168/TodoItem.tag_for_time returns a default value if the time field is not set
evil:TodoItem#overdue?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:37:62fd5
@@ -1,4 +1,4 @@
 def overdue?
-  (self[:completed_at].nil? && (!self[:due_at].nil?)) && (self[:due_at] < Time.current)
+  (self[:completed_at].nil? && (!self[:due_at].nil?)) && (self[:due_at] <= Time.current)
 end
-----------------------
TodoItemsController#authorize_ownership_of_list!:/Users/cbeynon/Code/todos/app/controllers/todo_items_controller.rb:57
- rspec:2:./spec/controllers/todo_items_controller_spec.rb:26/TodoItemsController POST #create when the user owns the list with valid params renders the parent todo list with success message
- rspec:3:./spec/controllers/todo_items_controller_spec.rb:36/TodoItemsController POST #create when the user owns the list with valid params accepts an optional due_at
- rspec:4:./spec/controllers/todo_items_controller_spec.rb:50/TodoItemsController POST #create when the user owns the list with invalid params renders the parent todo list with errors
- rspec:5:./spec/controllers/todo_items_controller_spec.rb:63/TodoItemsController POST #create when the user does not own the list does nothing and returns an error
- rspec:6:./spec/controllers/todo_items_controller_spec.rb:76/TodoItemsController POST #create when the user is not signed in does nothing and returns an error
- rspec:7:./spec/controllers/todo_items_controller_spec.rb:93/TodoItemsController DELETE #destroy when the user owns the containing list destroys the item and flashes success
- rspec:8:./spec/controllers/todo_items_controller_spec.rb:105/TodoItemsController DELETE #destroy when the user does not own the containing list does nothing and returns an error
- rspec:9:./spec/controllers/todo_items_controller_spec.rb:117/TodoItemsController DELETE #destroy when the user is not logged in does nothing and returns an error
- rspec:10:./spec/controllers/todo_items_controller_spec.rb:138/TodoItemsController PUT #update when the user owns the item with valid params updates the todo item
- rspec:11:./spec/controllers/todo_items_controller_spec.rb:150/TodoItemsController PUT #update when the user owns the item with invalid params returns and error
- rspec:12:./spec/controllers/todo_items_controller_spec.rb:162/TodoItemsController PUT #update when the user does not own the containing list does not update the item
- rspec:13:./spec/controllers/todo_items_controller_spec.rb:175/TodoItemsController PUT #update when the user is not logged in does not update the item
- rspec:14:./spec/controllers/todo_items_controller_spec.rb:192/TodoItemsController PUT #complete when the user owns the containing list marks the item as complete
- rspec:15:./spec/controllers/todo_items_controller_spec.rb:203/TodoItemsController PUT #complete when the user does not own the containing list does not mark the item as complete
- rspec:16:./spec/controllers/todo_items_controller_spec.rb:215/TodoItemsController PUT #complete when the user is not logged in does not mark the item as complete
- rspec:17:./spec/controllers/todo_items_controller_spec.rb:231/TodoItemsController PUT #uncomplete when the user owns the containing list unmarks the item as complete
- rspec:18:./spec/controllers/todo_items_controller_spec.rb:242/TodoItemsController PUT #uncomplete when the user does not own the containing list does not unmark the item as complete
- rspec:19:./spec/controllers/todo_items_controller_spec.rb:254/TodoItemsController PUT #uncomplete when the user is not logged in does not unmark the item as complete
neutral:TodoItemsController#authorize_ownership_of_list!:/Users/cbeynon/Code/todos/app/controllers/todo_items_controller.rb:57:52712
--- Neutral failure ---
Original code was inserted unmutated. And the test did NOT PASS.
